合計: 223話 (採用: 221, その他: 2)

番号 | タイトル | Perry | 教訓（末尾段落） | 判定
--- | --- | --- | --- | ---
1 | オオカミと仔ヒツジ | Pe155 | 暴君は、いかなる時にも、自分に都合のよい理由を見つけるものである。 | 採用
2 | コウモリと二匹のイタチ | Pe172 | 賢い人は、その場その場でうまく立ち回る。 | 採用
5 | 炭屋と洗濯屋 | Pe29 | 水と油は混ざらない。 | 採用
7 | イナゴを捕まえる少年 | Pe199 | 友だちを一瞬にして失うことになる。 | 採用
9 | ライオンの御代 | Pe334 | 地上の楽園などこの世にはない。 | 採用
12 | ヘラクレスとウシ追い | Pe291 | 自助の努力こそが、最大の助け | 採用
14 | 旅行者と彼のイヌ | Pe330 | そういうものだ。 | 採用
17 | ウシ飼と盗まれたウシ | Pe49 | ライオンから逃がして下さい」 | 採用
19 | ザクロとリンゴとイバラ | Pe213 | め遊ばせ。」 | 採用
22 | 仔ジカと彼の母親 | Pe351 | いくら説得しても、臆病者は勇者にはならない。 | 採用
23 | クマとキツネ | Pe288 | 「おお、クマさんや、生きた人を食べずに、死んだ人を食べなさい。」 | 採用
24 | ツバメとカラス | Pe229 | 困難な時の友こそ本当の友。 | 採用
26 | ロバとキツネとライオン | Pe191 | かったのは、キツネがすんでからだった。 | 採用
28 | ハエとハチミツ壷 | Pe80 | 楽しみの後には、痛みと苦しみが待っている。 | 採用
29 | 人とライオン | Pe284 | どんなに下らない話でも、反論されるまでは、一番である。 | 採用
30 | 農夫とツルたち | Pe297 | 優しく言われているうちに言う事を聞け！さもないとげんこつが飛んでくるぞ！ | 採用
35 | 喉の渇いたハト | Pe201 | 熱中し過ぎて分別を無くしてはならない。 | 採用
36 | カラスとハクチョウ | Pe398 | 習慣を変えても、本質は変わらない。 | 採用
37 | ヤギとヤギ飼 | Pe280 | 一目で分かるようなものを隠そうとしても無駄である。 | 採用
40 | ウマと別当 | Pe319 | 「もし、私に元気でいてもらいたいなら、手入れは程々でよいですから、もっと食糧を下さい」 | 採用
41 | ロバと愛玩犬 | Pe91 | な話だったのだ！」 | 採用
42 | 牝のライオン | Pe257 | 量より質 | 採用
43 | 旅先での出来事を自慢話する五種競技の選手 | Pe33 | スだ。ここで跳べ！」 | 採用
45 | 仔ブタとヤギとヒツジ | Pe85 | めだけど、僕をおさえつけるのは、肉をとるためなんだから！」 | 採用
47 | 恋をしたライオン | Pe140 | こん棒をふるって、ライオンを森へと追いやった。 | 採用
48 | 人とヘビ | Pe51 | 傷を負わされた者は、決してその痛みを忘れない。特にその仇が目の前にいる時には……。 | 採用
50 | ロバとラバ | Pe181 | になるとは……」 | 採用
53 | 病気のシカ | Pe305 | 悪い仲間は、利益よりも被害をもたらす。 | 採用
56 | ライオンとネズミとキツネ | Pe146 | ちょっとした不作法が、相手には、大変な不快と感じられることがある。 | 採用
59 | 人を噛むイヌ | Pe332 | 悪名は、しばしば名声と勘違いされる。 | 採用
63 | 天文学者 | Pe40 | 「天国を覗くことばかりに、うつつを抜かしてないで、少しは足下に注意を払いなさいな」 | 採用
64 | オオカミたちとヒツジたち | Pe153 | りを尽くされた。 | 採用
65 | 老婆と医者 | Pe57 | を治したと宣言した今、それらの品が一つたりとて見えないのです」 | 採用
66 | 二羽のオンドリとワシ | Pe281 | 破滅の露払いに傲慢がやってくる。 | 採用
